"","n","y"
"1",1,-0.0647760528455584
"2",6,-0.104294061376123
"3",11,0.0214894262161449
"4",16,-0.00360016237234558
"5",21,-0.0684822960230679
"6",26,-0.0716089620781686
"7",31,-0.108091816730855
"8",36,-0.0806076595050436
"9",41,-0.152581986890506
"10",46,-0.0825904233448635
"11",51,0.00338526715563534
"12",56,0.131548071355687
"13",61,0.143032849597105
"14",66,0.0187898169880824
"15",71,0.00791511992814699
"16",76,0.0490193395305675
"17",81,0.0382971627660029
"18",86,0.119666740346305
"19",91,-0.0577143631698921
"20",96,-0.0370173590880796
"21",101,-0.216976055596042
"22",106,-0.0438045122320786
"23",111,-0.0970645993755488
"24",116,-0.0623052240605521
"25",121,-0.118615717111438
"26",126,-0.177839347803905
"27",131,-0.264409867456349
"28",136,-0.0808516919776368
"29",141,0.0460146897117635
"30",146,0.164248422683179
"31",151,0.229130556333901
"32",156,0.104338450661543
"33",161,0.160770959948725
"34",166,0.121680008245199
"35",171,0.225653093599448
"36",176,0.144069987605627
"37",181,0.132249664714393
"38",186,-7.69435492809658e-05
"39",191,-0.221231371836887
"40",196,-0.140227842965475
"41",201,-0.0398084804933646
"42",206,0.043315080483701
"43",211,0.0688012218401554
"44",216,-0.027896645424908
"45",221,-0.107695263962891
"46",226,-0.171296227132499
"47",231,-0.173248486913245
"48",236,-0.0103415594277333
"49",241,-0.00103782141011677
"50",246,-0.040693098206515
"51",251,-0.0172202247489547
"52",256,0.287469569313218
"53",261,0.0515511764337221
"54",266,0.170562762911528
"55",271,0.231479368882611
"56",276,0.13737434663885
"57",281,0.245007919081997
"58",286,-0.128010967306277
"59",291,-0.201907050413411
"60",296,-0.0989100949495351
"61",301,-0.00652855204346422
"62",306,-0.16884065037703
"63",311,-0.240692961526196
"64",316,-0.253596178514562
"65",321,-0.33952611292645
"66",326,-0.170228585064904
"67",331,-0.0731341650318762
"68",336,-0.206558919422219
"69",341,0.00536803099545525
"70",346,0.0463502343615791
"71",351,0.181803508680353
"72",356,0.135483094976253
"73",361,0.397558718511834
"74",366,0.338716388557794
"75",371,0.328390764561193
"76",376,0.219598037873228
"77",381,0.0127347612618631
"78",386,-0.0973391359072162
"79",391,-0.132083259192676
"80",396,-0.0370783672062279
"81",401,-0.0376274402695627
"82",406,-0.13894667248436
"83",411,-0.270449671153032
"84",416,-0.30228065679691
"85",421,-0.114924725963465
"86",426,-0.0116684859974589
"87",431,-0.110379621161416
"88",436,0.0134668586796427
"89",441,0.0064966811811989
"90",446,0.176633070667284
"91",451,0.251474779605718
"92",456,0.202698789146148
"93",461,0.233263856338449
"94",466,0.229908409840292
"95",471,0.200166952242993
"96",476,0.0763814805200823
"97",481,-0.0591633059759144
"98",486,-0.221261875895961
"99",491,-0.102052013034173
"100",496,-0.341371608500436
"101",501,-0.305300558645251
"102",506,-0.221139859659664
"103",511,-0.216976055596042
"104",516,-0.0816753015726389
"105",521,-0.0285219786359282
"106",526,0.144420784284979
"107",531,0.0928994285087359
"108",536,0.312543905872171
"109",541,0.157690049982236
"110",546,0.131746347739669
"111",551,0.168702015308005
"112",556,0.226690231607969
"113",561,0.18192552491665
"114",566,0.317790604032925
"115",571,0.213283697644879
"116",576,0.143536166571829
"117",581,0.052130753556131
"118",586,-0.0777402779520732
"119",591,-0.0594225904780446
"120",596,-0.152688751097266
"121",601,-0.200900416463964
"122",606,-0.246626001016119
"123",611,-0.124365732246915
"124",616,-0.198551603915254
"125",621,-0.000961561262431388
"126",626,-0.122230448111725
"127",631,0.0242195395032815
"128",636,0.124028820793908
"129",641,0.039715601512951
"130",646,0.145320654027667
"131",651,0.1076938971597
"132",656,0.0714550749796066
"133",661,-0.0275916048341665
"134",666,0.155768294260564
"135",671,0.117897504920004
"136",676,0.223883858173147
"137",681,-0.119271554381532
"138",686,-0.271547817279701
"139",691,-0.193609946345242
"140",696,-0.142805435957241
"141",701,-0.188149719770968
"142",706,-0.142302118982517
"143",711,-0.156364490215701
"144",716,-0.134996396834257
"145",721,-0.133882998678051
"146",726,-0.0714564417827978
"147",731,-0.061085061697586
"148",736,0.142041467677196
"149",741,0.0902608273988217
"150",746,0.0535796963621533
"151",751,0.0568893867716988
"152",756,0.1265759097266
"153",761,0.0707382295913641
"154",766,0.224280410941111
"155",771,0.298649306963894
"156",776,0.203995211656799
"157",781,0.242918391035418
"158",786,0.27650336007606
"159",791,-0.249447626480478
"160",796,-0.1271568536522
"161",801,-0.136064038901853
"162",806,-0.667612520298497
"163",811,-0.339038047981264
"164",816,-0.502661820855018
"165",821,-0.160787578781453
"166",826,-0.506276551855305
"167",831,0.517500678791402
"168",836,-0.283093603639268
"169",841,-0.148723223417626
"170",846,-0.191352645973754
"171",851,0.26048872906213
"172",856,0.0855784543309392
"173",861,0.660198667140287
"174",866,0.355569881196263
"175",871,0.510118696495457
"176",876,0.774177083870858
"177",881,0.71840041185377
"178",886,-0.0659199550608391
"179",891,-0.0922297060122957
"180",896,0.213466721999324
"181",901,0.385692639531989
"182",906,-0.187646402796245
"183",911,-0.113765571718647
"184",916,-0.123145569883949
"185",921,-0.654694051280594
"186",926,-0.505559706467062
"187",931,-0.144925468062894
"188",936,-0.991062310691273
"189",941,-0.0154052332340426
"190",946,-0.55226142090959
"191",951,-0.375673422929321
"192",956,0.0199642232624372
