"","track","artist","genre","mode","popularity","tempo","energy","danceability","loudness","speechiness","acousticness","liveness","instrumentalness","valence","duration"
"502","Miss Movin' On","Fifth Harmony","Pop",1,64,75,0.842,0.466,-2.937,0.0513,0.0332,0.349,9.12e-06,0.418,193733
"503","Baby Pluto","Lil Uzi Vert","Hip Hop",0,85,160.052,0.634,0.772,-6.101,0.212,0.135,0.432,0,0.671,210261
"504","Butterfly Fly Away","Billy Ray Cyrus","Country",1,63,134.978,0.281,0.607,-12.632,0.0258,0.733,0.29,0.000123,0.468,189240
"505","Physical","Dua Lipa","Pop",1,82,146.962,0.844,0.647,-3.756,0.0457,0.0137,0.102,0.000658,0.746,193829
"506","Rewind","Rascal Flatts","Country",1,55,164.049,0.698,0.549,-6.679,0.0347,0.0222,0.202,0,0.719,203507
"507","Hope It Hurts","Dabin","Electronic Dance",0,54,120.039,0.657,0.543,-4.61,0.0303,0.0923,0.19,0,0.208,257500
"508","Some Gave All","Billy Ray Cyrus","Country",1,48,121.612,0.296,0.631,-13.961,0.0317,0.0416,0.0695,5.21e-06,0.256,245307
"509","Night Train","Jason Aldean","Country",1,65,158.121,0.708,0.496,-5.175,0.0293,0.0512,0.182,1.06e-06,0.502,232307
"510","10,000 Hours (with Justin Bieber)","Dan + Shay","Country",1,89,89.991,0.63,0.654,-4.644,0.0259,0.153,0.111,0,0.43,167693
"511","Speechless","Dan + Shay","Country",1,78,135.929,0.438,0.616,-5.968,0.0298,0.356,0.24,0,0.386,213387
"512","Black and Yellow","Wiz Khalifa","Hip Hop",0,74,164.02,0.834,0.684,-4.524,0.0675,0.0646,0.271,0,0.538,217667
"513","do re mi","blackbear","Pop",1,78,111.002,0.593,0.745,-6.35,0.0526,0.00522,0.123,5.25e-06,0.17,212027
"514","Levitating","Dua Lipa","Pop",0,81,103.014,0.883,0.695,-2.286,0.0778,0.0533,0.213,0,0.907,203808
"515","Only Now (feat. Tyler Graves)","Seven Lions","Electronic Dance",1,60,149.926,0.808,0.384,-5.225,0.0397,0.00558,0.116,8.51e-06,0.195,211200
"516","Queens Don't","RaeLynn","Country",1,63,133.949,0.695,0.658,-5.499,0.0279,0.0703,0.13,0,0.571,185587
"517","First Time (feat. Dylan Matthew) - Acoustic","Dabin","Electronic Dance",1,55,143.784,0.337,0.558,-8.414,0.0311,0.92,0.159,2.34e-06,0.397,251933
"518","goosebumps","Travis Scott","Hip Hop",1,85,130.049,0.728,0.841,-3.37,0.0484,0.0847,0.149,0,0.43,243837
"519","Circles","Post Malone","Pop",1,95,120.042,0.762,0.695,-3.497,0.0395,0.192,0.0863,0.00244,0.553,215280
"520","FREAK","Tyga","Hip Hop",1,76,106.01,0.556,0.933,-6.115,0.216,0.00438,0.114,0,0.504,174067
"521","All Dat (with Megan Thee Stallion)","Moneybagg Yo","Hip Hop",1,71,120.047,0.772,0.792,-3.904,0.27,0.00534,0.237,0,0.414,143958
"522","Something New (feat. Ty Dolla $ign)","Wiz Khalifa","Hip Hop",0,75,87.581,0.635,0.814,-6.609,0.0809,0.0935,0.0892,0,0.784,200774
"523","Stand Tall","Dirty Heads","Alternative/Reggae",1,56,158.109,0.813,0.705,-4.522,0.116,0.324,0.347,0,0.843,191280
"524","We Back","Jason Aldean","Country",0,73,155.938,0.928,0.433,-5.117,0.0512,0.0135,0.32,2.01e-06,0.552,197160
"525","Yours If You Want It","Rascal Flatts","Country",1,54,113.012,0.903,0.544,-3.151,0.0535,0.0102,0.108,0,0.408,206827
"526","Real Luv (feat. Summer Walker)","Moneybagg Yo","Hip Hop",1,62,97,0.56,0.775,-6.377,0.0798,0.023,0.105,0,0.159,199823
"527","Lost And Found","Iration","Alternative/Reggae",0,51,152.106,0.669,0.63,-7.289,0.118,0.0987,0.491,3.87e-05,0.655,236333
