"","track","artist","genre","mode","popularity","tempo","energy","danceability","loudness","speechiness","acousticness","liveness","instrumentalness","valence","duration"
"640","Promises (with Sam Smith)","Sam Smith","Pop",1,82,123.07,0.768,0.781,-5.991,0.0394,0.0119,0.325,4.91e-06,0.486,213309
"641","Blown Away","Carrie Underwood","Country",0,63,136.991,0.843,0.531,-2.569,0.0429,0.0909,0.0283,0,0.392,240133
"642","Balladino","Atlas Genius","Alternative/Reggae",0,38,138.758,0.766,0.372,-5.12,0.0328,0.0316,0.115,0,0.284,239973
"643","40oz. To Freedom","Sublime","Alternative/Reggae",1,59,94.27,0.489,0.688,-7.848,0.0378,0.00053,0.143,0.00292,0.364,183000
"644","Naive","The Kooks","Alternative/Reggae",0,60,102.765,0.816,0.547,-6.165,0.0624,0.0688,0.127,0,0.722,203507
"645","One Dance","Drake","Hip Hop",1,81,103.967,0.625,0.792,-5.609,0.0536,0.00776,0.329,0.00188,0.37,173987
"646","John Cougar, John Deere, John 3:16","Keith Urban","Country",1,61,84.975,0.779,0.694,-6.984,0.071,0.0688,0.0803,3.99e-06,0.594,221600
"647","Feel Good (feat. Daya)","ILLENIUM","Electronic Dance",1,72,138.064,0.707,0.625,-4.761,0.0337,0.22,0.213,0,0.479,248156
"648","Wanted","OneRepublic","Alternative/Reggae",1,73,145.816,0.534,0.668,-6.586,0.0677,0.164,0.1,0,0.711,136248
"649","Taste (feat. Offset)","Tyga","Hip Hop",1,72,98.001,0.613,0.866,-6.385,0.151,0.0293,0.104,0,0.359,229210
"650","Beautiful (feat. Camila Cabello)","Camila Cabello","Pop",1,80,100.027,0.717,0.638,-4.722,0.0337,0.346,0.105,0,0.249,180000
"651","She's Country","Jason Aldean","Country",0,66,172.138,0.872,0.553,-2.832,0.0782,0.198,0.0659,0,0.638,220573
"652","IDGAF","Dua Lipa","Pop",1,82,97.028,0.544,0.836,-5.975,0.0943,0.0403,0.0824,0,0.51,217947
"653","Taking Pictures Of You","The Kooks","Alternative/Reggae",1,51,135.825,0.522,0.66,-7.754,0.0323,0.196,0.356,0,0.524,161982
"654","Sleep Alone","Two Door Cinema Club","Alternative/Reggae",1,54,148.063,0.751,0.53,-5.165,0.0432,0.000103,0.0926,0.00175,0.522,236440
"655","Talk You Out Of It","Florida Georgia Line","Country",1,70,119.964,0.708,0.651,-4.791,0.0376,0.582,0.0796,0,0.558,202920
"656","MotorSport","Nicki Minaj","Hip Hop",1,74,137.996,0.518,0.904,-5.32,0.183,0.0305,0.325,0,0.188,303077
"657","Next Life","Adventure Club","Electronic Dance",1,56,142.073,0.789,0.515,-3.385,0.0378,0.0218,0.128,4.85e-05,0.199,186854
"658","Southbound","Carrie Underwood","Country",1,67,100.531,0.884,0.614,-4.019,0.0402,0.00122,0.077,0,0.721,202853
"659","Young Dumb & Broke","Khalid","Pop",1,82,136.949,0.539,0.798,-6.351,0.0421,0.199,0.165,1.66e-05,0.394,202547
"660","Speed Me Up (with Ty Dolla $ign, Lil Yachty & Sueco the Child)","Lil Yachty","Hip Hop",1,71,149.987,0.844,0.776,-5.296,0.0483,0.00177,0.0844,0.0273,0.542,214723
"661","Achy Breaky Heart","Billy Ray Cyrus","Country",1,66,121.808,0.563,0.8,-10.209,0.0303,0.051,0.0797,0,0.961,203373
"662","Woah","Lil Baby","Hip Hop",1,77,142.976,0.599,0.883,-5.551,0.248,0.0177,0.179,0,0.413,183011
"663","I Like The Sound Of That","Rascal Flatts","Country",1,69,89.974,0.8,0.611,-5.61,0.0377,0.257,0.194,0,0.527,209280
"664","Lost My Lover","Ali Gatie","Pop",0,63,120.225,0.421,0.608,-12.157,0.0609,0.812,0.11,5.92e-05,0.396,198593
"665","Protect Da Brand (feat. DaBaby)","Moneybagg Yo","Hip Hop",1,67,144.073,0.577,0.849,-6.802,0.181,0.0266,0.104,0,0.617,180020
"666","Don't Let Me Down - Illenium Remix","ILLENIUM","Electronic Dance",1,65,79.648,0.656,0.428,-3.712,0.075,0.0751,0.15,0.181,0.355,218933
"667","Fade Away","Rebelution","Alternative/Reggae",1,60,109.926,0.54,0.685,-9.701,0.0253,0.181,0.114,0.015,0.235,209253
"668","Who You Foolin","Gunna","Hip Hop",1,70,115.69,0.756,0.916,-7.653,0.188,0.0942,0.23,0,0.756,151539
"669","Futsal Shuffle 2020 - Bonus Track","Lil Uzi Vert","Hip Hop",0,78,136.988,0.448,0.879,-8.57,0.221,0.0341,0.224,0,0.279,198913
"670","Frequency","Adventure Club","Electronic Dance",0,44,74.964,0.579,0.481,-5.554,0.029,0.169,0.104,8.59e-05,0.186,280000
"671","Watermelon Sugar","Harry Styles","Pop",1,82,95.39,0.816,0.548,-4.209,0.0465,0.122,0.335,0,0.557,174000
"672","Don't Mind","Louis The Child","Electronic Dance",1,63,123.031,0.857,0.803,-3.506,0.0986,0.136,0.145,3.7e-06,0.598,174106
"673","LA Never Says Goodbye (feat. Kyle Pavone)","ARMNHMR","Electronic Dance",1,43,77.216,0.669,0.267,-7.092,0.0369,3.12e-05,0.0675,0.592,0.0767,288196
"674","Wolves","Marshmello","Electronic Dance",0,80,124.987,0.804,0.724,-4.614,0.0448,0.124,0.204,0,0.306,197993
"675","Back To Life","Rascal Flatts","Country",1,70,132.041,0.701,0.467,-4.997,0.0302,0.191,0.0769,0,0.28,214219
"676","Mask Off","Future","Hip Hop",1,81,150.062,0.434,0.833,-8.795,0.431,0.0102,0.165,0.0219,0.281,204600
"677","Molecules - Single Version","Atlas Genius","Alternative/Reggae",0,47,117.028,0.81,0.542,-4.822,0.044,0.000442,0.195,9.71e-06,0.513,249267
"678","GATTI","Travis Scott","Hip Hop",1,80,143.477,0.676,0.594,-5.808,0.344,0.135,0.163,0,0.472,181145
"679","Blessings","Florida Georgia Line","Country",1,60,89.081,0.672,0.466,-5.926,0.036,0.737,0.0858,0,0.334,198520
"680","Sunrise, Sunburn, Sunset","Luke Bryan","Country",1,69,159.958,0.897,0.471,-2.27,0.0597,0.193,0.196,0,0.719,216093
"681","Peace - Kaivon Remix","Alison Wonderland","Electronic Dance",1,53,80.018,0.76,0.594,-3.21,0.068,0.376,0.289,0.000189,0.339,210000
"682","Juicy","Tyga","Hip Hop",1,78,170.031,0.652,0.786,-2.607,0.0669,0.102,0.0697,0,0.483,203093
"683","Hallucinate","Dua Lipa","Pop",0,80,122.054,0.69,0.627,-5.396,0.138,0.0325,0.0742,0,0.628,208505
"684","Rush Over Me","Seven Lions","Electronic Dance",1,61,135.015,0.753,0.441,-4.074,0.044,0.0701,0.027,0,0.254,259556
"685","Nightmare (feat. rx Soul)","Bear Grillz","Electronic Dance",1,44,149.845,0.782,0.625,-3.227,0.0918,0.0456,0.115,0.000461,0.0697,236800
"686","Forever Young (feat. Melanie Fontana)","ARMNHMR","Electronic Dance",1,40,139.721,0.735,0.326,-2.894,0.0333,0.271,0.218,0,0.255,178286
"687","1942","G-Eazy","Hip Hop",0,69,162.898,0.646,0.817,-5.12,0.249,0.0152,0.125,0,0.835,213080
"688","Silence","Khalid","Pop",1,80,141.971,0.761,0.52,-3.093,0.0853,0.256,0.17,4.96e-06,0.286,180823
"689","Oxygen","Dirty Heads","Alternative/Reggae",0,58,169.987,0.878,0.68,-3.923,0.0554,0.0744,0.137,0,0.769,225395
"690","Cry, Cry, Cry - Feat. Jack Johnson & Paula Fuga","Ziggy Marley","Alternative/Reggae",1,53,105.79,0.329,0.703,-9.141,0.0303,0.828,0.132,1.19e-06,0.472,283040
"691","In My Feelings","Drake","Hip Hop",1,82,91.03,0.626,0.835,-5.833,0.125,0.0589,0.396,6e-05,0.35,217925
"692","One Love / People Get Ready - Exodus 40 Mix","Ziggy Marley","Alternative/Reggae",1,47,76.839,0.515,0.697,-9.929,0.286,0.171,0.0787,0,0.93,178867
"693","Down","Fifth Harmony","Pop",1,62,196.121,0.512,0.53,-7.094,0.133,0.0162,0.128,7.04e-05,0.401,165200
"694","T-Shirt","Thomas Rhett","Country",1,65,95.989,0.862,0.634,-5.337,0.0376,0.0287,0.0217,0,0.767,227693
